Altium Designer Pick and Place Locations
T:\02_Aktivitaeten\ADT_PIOBD_CM4\AltiumDaten\PiOBD_CM4_MultiBoard_V1.1\BaseBoard\Project Outputs for CANOPi_BaseBoard\Pick Place\Pick Place for CANOPi_Baseboard(BASIC).csv

========================================================================================================================
File Design Information:

Date:       10.01.23
Time:       11:57
Revision:   Not in VersionControl
Variant:    BASIC
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R518","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","53.4000","20.0000","270","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R517","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","55.6000","20.0000","270","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R516","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","54.5000","20.0000","270","RC0402 series chip resistor with lead-free terminations made by thick film process"
"U605","SN74LVC1G07DRYR","TopLayer","DRY0006A_V","29.4000","27.5000","0","Single Buffer/Driver With Open-Drain Output, DRY0006A, LARGE T&R"
"R405","RES 0402 4K7 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","68.9550","11.1250","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R307","RES 0402 10K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","14.4000","5.5000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R306","RES 0402 10K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","20.2000","2.2000","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"Q602","DIODES INCORPORATED - 2N7002T","BottomLayer","DIODES_INCORPORATED_-_SOT523","28.1000","42.3450","90","N-CHANNEL ENHANCEMENT MODE FIELD EFFECT TRANSISTOR"
"JP600","Solder Jumper Triple 0402 with Assembly between 1 and 2","BottomLayer","Solder_Jumper_Triple_0402_with_Assembly_between_1_and_2","18.6000","39.4000","180","Solder Jumper Triple 0402 with Assembly between 1 and 2"
"C614","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","30.3000","28.8000","0","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"S601","C & K - PCM12SMTR","BottomLayer","PCM12SMTR","25.1000","46.2250","0","C & K Schiebeschalter PCM12SMTR 1-polig Ein-Ein, 0,3 A @ 6 V dc - Slide Switches 0.3A SPDT ON-ON"
"J601","AMPHENOL - 10129382","TopLayer","AMPHENOL_-_10129382-Footprint-1","21.7500","35.9300","0","Connector Header Through Hole, Right Angle 12 position 0.100" (2.54mm)"
"J600","694101308002","TopLayer","694101308002","9.9000","42.2000","180","DC Power Jack Connector Low Profile WR-DC, Male, Right Angled, THT, 2 A, 12 V"
"Y301","ECS-200-18-33Q-DS","TopLayer","FP-ECX-33Q-MFG","23.6500","8.7000","180","CRYSTAL 20.0000MHZ 18PF SMD"
"Y300","ECS-200-18-33Q-DS","TopLayer","FP-ECX-33Q-MFG","40.5000","8.7000","180","CRYSTAL 20.0000MHZ 18PF SMD"
"Y700","ABRACON - ABS05-32.768KHZ-9-T","TopLayer","ABRACON_-_ABS05-32.768KHZ-9-T","29.1000","25.2000","180","Crystals 32.768KHz 9.0pF 20ppm -40C +85C"
"X501","COMTECH ELECTRONIC - OBD-2 Stiftblock","TopLayer","COMTECH_ELECTRONIC_-_OBD-2_Stiftblock-Footprint-1","-10.6000","22.0000","270","OBD-2 Stiftblock männlich PCB TH PKW Typ A"
"X400","JST - SCZW-7SA-1K(HF)","BottomLayer","JST_SCZW-7SA-1K(HF)","64.9349","0.8500","270","SIM-Kartenleser aufklappbar und sperrfähig"
"X301","PHOENIX CONTACT - PTSM 0,5/ 4-HH-2,5-SMD R32","TopLayer","PHOENIX_CONTACT_-_PTSM_0,5__4-HH-2,5-SMD_R32-Footprint-1","12.8500","-0.5250","0","Leiterplatten-Grundleiste - PTSM 0,5/ 4-HH-2,5-SMD R32"
"X300","PHOENIX CONTACT - PTSM 0,5/ 4-HH-2,5-SMD R32","TopLayer","PHOENIX_CONTACT_-_PTSM_0,5__4-HH-2,5-SMD_R32-Footprint-1","29.5500","-0.5250","0","Leiterplatten-Grundleiste - PTSM 0,5/ 4-HH-2,5-SMD R32"
"U700","PCF85063ATT/AJ","TopLayer","FP-SOT505-1-MFG","28.4000","21.3000","270","IC RTC CLK/CALENDAR I2C 8TSSOP"
"U602","VISHAY - SIP32408","TopLayer","DFN130P160X60-4N","21.1000","23.0000","0","1.1 V to 5.5 V, Slew Rate Controlled Load Switch"
"U302","MICROCHIP - MCP2542FD/4FD","TopLayer","SOIC127P600X175-8N","16.6000","7.5000","180","CAN FD Transceiver with Wake-up Pattern (WUP) Option"
"U300","MICROCHIP - MCP2542FD/4FD","TopLayer","SOIC127P600X175-8N","33.4000","7.5000","180","CAN FD Transceiver with Wake-up Pattern (WUP) Option"
"U601","VISHAY - SIP32408","TopLayer","DFN130P160X60-4N","21.1000","31.3000","0","1.1 V to 5.5 V, Slew Rate Controlled Load Switch"
"U500","MCP2562-E/MF","BottomLayer","FP-C04-062-MFG","50.5500","15.0250","180","IC TRANSCEIVER HALF 1/1 8DFN"
"U400","ON SEMICONDUCTOR - FSUSB43L10X","TopLayer","ON_SEMICONDUCTOR_-_FSUSB43L10X","48.6000","9.6000","0","Low-Power, Two-Port, High-Speed, USB2.0 (480Mbps) Switch"
"U600","ANALOG DEVICES - LTM8024EY#PBF","TopLayer","ANALOG_DEVICES_-_LTM8024","11.8000","26.3000","0","40VIN, Dual 3.5A or Single 7A Silent Switcher ¿Module Regulator"
"SW600","EVQ-P7J01P","BottomLayer","FP-EVQ-P7J01P-MFG","46.1000","47.0000","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"SW500","EVQ-P7J01P","BottomLayer","FP-EVQ-P7J01P-MFG","40.5000","46.9750","0","SWITCH TACTILE SPST-NO 0.05A 12V"
"S600","C & K - PCM12SMTR","BottomLayer","PCM12SMTR","15.8000","46.2250","0","C & K Schiebeschalter PCM12SMTR 1-polig Ein-Ein, 0,3 A @ 6 V dc - Slide Switches 0.3A SPDT ON-ON"
"R610","RES 0402 100K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","17.0000","43.2000","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R609","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","29.3000","29.9000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R608","RES 0402 100K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","22.3000","43.3000","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R607","RES 0402 330K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","25.7000","25.8000","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R606","RES 0402 330K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","25.7000","24.8000","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R604","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","21.3000","25.2000","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R601","RES 0402 33K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","8.0000","19.6000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R600","RES 0402 33K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","8.0000","18.3000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R515","RES 0402 1K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","36.9000","46.2000","270","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R514","RES 0402 100R 1% 63mW","TopLayer","RES_0402_[1005_Metric]_N","50.0000","33.3000","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R513","RES 0402 1K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","44.4000","46.2000","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R512","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","45.5000","46.2000","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R511","RES 0402 1K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","38.9000","46.2000","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R510","RES 0402 100K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","52.3000","20.0000","270","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R509","RES 0402 10K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","40.9000","33.6000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R508","RES 0402 1K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","47.9000","21.6500","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R507","RES 0402 100K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","37.1000","38.6000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R506","RES 0402 10K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","40.9000","34.7000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R505","RES 0402 10K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","41.1000","43.6000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R504","RES 0402 10K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","49.4000","17.4000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R503","RES 0402 62K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","41.1000","44.8000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R502","RES 0402 330K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","39.1000","44.8000","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R404","RES 0402 60R4 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","63.8550","-1.8750","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R403","RES 0402 33K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","66.3550","2.7250","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R402","RES 0402 1K 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","37.5000","-3.9000","0","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R401","RES 0402 4K7 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","70.0550","11.1250","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R605","RES 0402 78K7 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","9.2000","33.2000","270","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R603","RES 0402 45K3 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","10.3000","33.2000","270","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R602","RES 0402 33K 1% 0W0625","TopLayer","RES_0402_[1005_Metric]_N","5.9000","29.1000","180","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R400","RES 0402 4K7 1% 0W0625","BottomLayer","RES_0402_[1005_Metric]_N","67.9000","11.1000","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R305","RES 0402 100R 1% 63mW","TopLayer","RES_0402_[1005_Metric]_N","20.9920","9.3000","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"R302","RES 0402 100R 1% 63mW","TopLayer","RES_0402_[1005_Metric]_N","37.8000","9.3000","90","RC0402 series chip resistor with lead-free terminations made by thick film process"
"Q601","DIODES INCORPORATED - 2N7002T","TopLayer","DIODES_INCORPORATED_-_SOT523","22.5000","27.6000","180","N-CHANNEL ENHANCEMENT MODE FIELD EFFECT TRANSISTOR"
"Q600","DIODES INCORPORATED - 2N7002T","BottomLayer","DIODES_INCORPORATED_-_SOT523","15.7000","40.0000","180","N-CHANNEL ENHANCEMENT MODE FIELD EFFECT TRANSISTOR"
"Q401","DIODES INCORPORATED - 2N7002T","BottomLayer","DIODES_INCORPORATED_-_SOT523","46.4000","-0.6000","180","N-CHANNEL ENHANCEMENT MODE FIELD EFFECT TRANSISTOR"
"Q400","DIODES INCORPORATED - 2N7002T","BottomLayer","DIODES_INCORPORATED_-_SOT523","46.4000","-3.1000","180","N-CHANNEL ENHANCEMENT MODE FIELD EFFECT TRANSISTOR"
"J700","SAMTEC - ERF8-025-07.0-L-DV-TR","TopLayer","SAMTEC_-_ERF-025-05.0-L-DV-TR-Footprint-1","39.0000","29.0000","270","50 Poliger Steckverbinder Sockel, äußere Abdeckungskontakte Oberflächenmontage Gold"
"FB500","MURATA - BLM18AG121SN1D","BottomLayer","Ferrite_Beads_0603_(1608_Metric)","54.5700","24.9000","90","120 Ohms @ 100MHz 1 Power Line Ferrite Bead 0603 (1608 Metric) 800mA 180mOhm"
"F600","LITTELFUSE - 154002.DRT.","TopLayer","LITTELFUSE_-_154_OMNI-BLOK","0.6000","36.0000","180","Sicherung 2A - NANO2 > 154 OMNI-BLOK - Fuse and Holder Combination"
"D603","WUERTH ELEKTRONIK - 155124RS73200","BottomLayer","WUERTH_ELEKTRONIK_-_WL-SMSW","28.9000","-3.7000","0","LED, RED, Right Angle SMD 3.2*1.0mm WL-SMSW SMT Mono-color Side view Waterclear"
"D602","WUERTH ELEKTRONIK - 155124RS73200","BottomLayer","WUERTH_ELEKTRONIK_-_WL-SMSW","12.2000","-3.7000","0","LED, RED, Right Angle SMD 3.2*1.0mm WL-SMSW SMT Mono-color Side view Waterclear"
"D601","STMICROELECTRONICS - SMBJ24A-TR","TopLayer","DO-214AA_(SMB)_DIOC5436X26N","-1.4000","30.9000","0","TVS DIODE unidirectional 24V DO214AA SMB"
"D600","VS-15MQ040NTRPBF","TopLayer","FP-95400-MFG","-3.2000","25.7000","90","DIODE SCHOTTKY 40V 1.5A SMA"
"D504","WUERTH ELEKTRONIK - 155124VS73200","TopLayer","WUERTH_ELEKTRONIK_-_WL-SMSW","35.1000","47.8000","0","LED, GREEN, Right Angle SMD 3.2*1.0mm WL-SMSW SMT Mono-color Side view Waterclear"
"D503","WUERTH ELEKTRONIK - 155124VS73200","TopLayer","WUERTH_ELEKTRONIK_-_WL-SMSW","46.2000","47.8000","0","LED, GREEN, Right Angle SMD 3.2*1.0mm WL-SMSW SMT Mono-color Side view Waterclear"
"D502","WUERTH ELEKTRONIK - 155124VS73200","TopLayer","WUERTH_ELEKTRONIK_-_WL-SMSW","40.6500","47.8000","0","LED, GREEN, Right Angle SMD 3.2*1.0mm WL-SMSW SMT Mono-color Side view Waterclear"
"D501","INFINEON - BAT64-04","TopLayer","INFINEON_-_BAT64-04","45.6000","39.2000","0","Dual Silicon Schottky Diodes in series configuration"
"D500","VISHAY - VBUS052CD-FAH-GS08","TopLayer","VISHAY_-_VBUS052CD-FAH","-4.4001","16.2000","180","2-Line BUS-Port ESD-Protection - Flow Through Design"
"D700","INFINEON - BAT64-05","TopLayer","INFINEON_-_BAT64-04","23.8000","19.1000","0","Dual Silicon Schottky Diodes"
"D400","WUERTH ELEKTRONIK - 155124RS73200","BottomLayer","WUERTH_ELEKTRONIK_-_WL-SMSW","41.3000","-3.8000","0","LED, RED, Right Angle SMD 3.2*1.0mm WL-SMSW SMT Mono-color Side view Waterclear"
"D301","VISHAY - VBUS052CD-FAH-GS08","TopLayer","VISHAY_-_VBUS052CD-FAH","11.6000","4.8999","270","2-Line BUS-Port ESD-Protection - Flow Through Design"
"D300","VISHAY - VBUS052CD-FAH-GS08","TopLayer","VISHAY_-_VBUS052CD-FAH","28.4000","4.8999","270","2-Line BUS-Port ESD-Protection - Flow Through Design"
"C613","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","31.9000","33.2000","0","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C612","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","27.3000","29.4000","90","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C610","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","27.3000","25.4000","270","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C609","CAP 0603 10µF -20% +20% 6.3V X5R","TopLayer","CAP_0603_[1608_Metric]_X080_N","23.1000","22.4000","270","SMT 10µF ±20% 6,3 V Keramikkondensatoren X5R"
"C608","CAP 1210 100µF +/-20% 16V X5R","TopLayer","CAP_1210_[3225_Metric]_X250_N","18.2000","21.5000","90","100µF ±20% 16V Ceramic Capacitor X5R 1210 (3225 Metric)"
"C606","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","5.9000","31.6000","180","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C605","CAP 0603 10µF -20% +20% 6.3V X5R","TopLayer","CAP_0603_[1608_Metric]_X080_N","23.1000","30.7000","270","SMT 10µF ±20% 6,3 V Keramikkondensatoren X5R"
"C604","CAP 1210 100µF +/-20% 16V X5R","TopLayer","CAP_1210_[3225_Metric]_X250_N","18.3000","29.8000","90","100µF ±20% 16V Ceramic Capacitor X5R 1210 (3225 Metric)"
"C603","CAP 1206 10u -10% +10% 50V X5R","TopLayer","CAP_1206_[3216_Metric]_X160_N","-2.5000","21.0000","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 50Volts 10%"
"C602","CAP 1206 10u -10% +10% 50V X5R","TopLayer","CAP_1206_[3216_Metric]_X160_N","0.9000","27.4000","0","Multilayer Ceramic Capacitors MLCC - SMD/SMT 10uF 50Volts 10%"
"C601","CAP 0603 100n -10% +10% 50V X7R","TopLayer","CAP_0603_[1608_Metric]_X080_N","4.1000","28.1000","270","SMD/SMT 0603 50V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C600","CAP2625 47u -20% +20% 50V","TopLayer","WCAP-ASLI_6.3x7.7","3.4000","21.3000","270","WCAP-ASLL Aluminium Electrolytic Capacitor (SMD Type): -55°C to 105°, Reflow Soldering, Low Impedance"
"C512","CAP 0402 15p -2% +2% 25V C0G","TopLayer","CAP_0402_[1005_Metric]_X050_N","44.4000","31.7000","0","SMD/SMT 0402 25V -2% +2% C0G - Multilayer Ceramic Capacitors MLCC"
"C511","CAP 0402 15p -2% +2% 25V C0G","TopLayer","CAP_0402_[1005_Metric]_X050_N","50.0000","35.4000","270","SMD/SMT 0402 25V -2% +2% C0G - Multilayer Ceramic Capacitors MLCC"
"C510","CAP 0603 10µF -20% +20% 6.3V X5R","TopLayer","CAP_0603_[1608_Metric]_X080_N","50.9000","20.5500","270","SMT 10µF ±20% 6,3 V Keramikkondensatoren X5R"
"C509","CAP 0402 100n -10% +10% 6.3V X7R","BottomLayer","CAP_0402_[1005_Metric]_X050_N","54.0000","26.8000","0","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C309","CAP 0402 100n -10% +10% 6.3V X7R","BottomLayer","CAP_0402_[1005_Metric]_X050_N","17.0000","8.1000","0","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C308","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","15.7000","13.6000","90","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C307","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","14.3000","11.0000","180","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C306","CAP 0402 100n -10% +10% 6.3V X7R","BottomLayer","CAP_0402_[1005_Metric]_X050_N","33.8000","8.3000","0","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C305","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","32.5000","13.6500","90","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C304","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","31.2000","11.0000","180","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C311","CAP 0402 27p -2% +2% 25V C0G","TopLayer","CAP_0402_[1005_Metric]_X050_N","20.9920","7.1500","90","SMD/SMT 0402 25V -2% +2% C0G - Multilayer Ceramic Capacitors MLCC"
"C310","CAP 0402 27p -2% +2% 25V C0G","TopLayer","CAP_0402_[1005_Metric]_X050_N","24.0000","11.1000","180","SMD/SMT 0402 25V -2% +2% C0G - Multilayer Ceramic Capacitors MLCC"
"C508","CAP 0603 1u -10% +10% 10V X7R","BottomLayer","CAP_0603_[1608_Metric]_X080_N","56.1000","24.7000","270","SMD/SMT 0603 10V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C507","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","44.9000","26.7500","0","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C506","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","51.2000","33.4000","270","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C700","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","30.9000","19.6000","270","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C505","CAP 0603 1u -10% +10% 10V X7R","TopLayer","CAP_0603_[1608_Metric]_X080_N","45.2000","29.5000","90","SMD/SMT 0603 10V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C504","CAP 0603 1u -10% +10% 10V X7R","TopLayer","CAP_0603_[1608_Metric]_X080_N","52.5000","33.8000","90","SMD/SMT 0603 10V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C503","CAP 0402 100n -10% +10% 6.3V X7R","BottomLayer","CAP_0402_[1005_Metric]_X050_N","54.5000","28.7000","270","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C501","CAP 0402 100n -10% +10% 6.3V X7R","BottomLayer","CAP_0402_[1005_Metric]_X050_N","53.1000","15.3000","270","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C500","CAP 0402 100n -10% +10% 6.3V X7R","BottomLayer","CAP_0402_[1005_Metric]_X050_N","49.8000","12.6000","180","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
"C407","CAP 0402 100n -10% +10% 6.3V X7R","TopLayer","CAP_0402_[1005_Metric]_X050_N","63.6550","2.7250","270","SMD/SMT 0402 6.3V -10% +10% X7R - Multilayer Ceramic Capacitors MLCC"
